runname,seed,steps,tokens,acc,acc_norm,acc_norm_token
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.47965116280000003,0.5203488372,0.47965116280000003
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.5145348837,0.523255814,0.5145348837
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.5348837209,0.5348837209,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.5145348837,0.4912790698,0.5145348837
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.5058139535,0.5145348837,0.5058139535
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.5348837209,0.511627907,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.5203488372,0.5029069767000001,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.5436046512,0.5058139535,0.5436046512
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.5319767442000001,0.5087209302,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.5348837209,0.5174418605000001,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.5319767442000001,0.5087209302,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.5523255814,0.5145348837,0.5523255814
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.5377906977,0.5029069767000001,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.5261627907,0.523255814,0.5261627907
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.5174418605000001,0.5436046512,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.5087209302,0.5087209302,0.5087209302
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.5319767442000001,0.5348837209,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.5174418605000001,0.5465116279000001,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.5174418605000001,0.4970930233,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.5436046512,0.5523255814,0.5436046512
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.5494186047,0.5465116279000001,0.5494186047
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.5145348837,0.47965116280000003,0.5145348837
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.5668604651,0.5465116279000001,0.5668604651
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.5377906977,0.5203488372,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.5290697674,0.5523255814,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.511627907,0.49418604650000003,0.511627907
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.5203488372,0.5203488372,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.5348837209,0.511627907,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.5290697674,0.4970930233,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.5261627907,0.5087209302,0.5261627907
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.523255814,0.5319767442000001,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.5348837209,0.5058139535,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.4970930233,0.49418604650000003,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.4912790698,0.5203488372,0.4912790698
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.5755813953000001,0.5377906977,0.5755813953000001
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.5494186047,0.5087209302,0.5494186047
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.5319767442000001,0.5058139535,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.523255814,0.5319767442000001,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.5436046512,0.5261627907,0.5436046512
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.5203488372,0.5377906977,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,8,13000,27.262976,0.5348837209,0.5261627907,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,8,13500,28.311552,0.5523255814,0.5261627907,0.5523255814
1p46G-gemma-commoncrawl-sw-29BT,8,14000,29.360128,0.523255814,0.523255814,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,8,1500,3.145728,0.5029069767000001,0.5174418605000001,0.5029069767000001
1p46G-gemma-commoncrawl-sw-29BT,8,2000,4.194304,0.5319767442000001,0.5087209302,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,8,2500,5.24288,0.5552325581,0.5494186047,0.5552325581
1p46G-gemma-commoncrawl-sw-29BT,8,3000,6.291456,0.5377906977,0.5203488372,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,8,3500,7.340032,0.5029069767000001,0.5348837209,0.5029069767000001
1p46G-gemma-commoncrawl-sw-29BT,8,4000,8.388608,0.5406976744,0.5406976744,0.5406976744
1p46G-gemma-commoncrawl-sw-29BT,8,4500,9.437184,0.523255814,0.5668604651,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,8,500,1.048576,0.5290697674,0.5174418605000001,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,8,5000,10.48576,0.5523255814,0.5639534884,0.5523255814
1p46G-gemma-commoncrawl-sw-29BT,8,5500,11.534336,0.5494186047,0.5726744186,0.5494186047
1p46G-gemma-commoncrawl-sw-29BT,8,6000,12.582912,0.5319767442000001,0.5348837209,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,8,6500,13.631488,0.5406976744,0.5261627907,0.5406976744
1p46G-gemma-commoncrawl-sw-29BT,8,7000,14.680064,0.5348837209,0.5145348837,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,8,7500,15.72864,0.5930232558,0.5697674419000001,0.5930232558
1p46G-gemma-commoncrawl-sw-29BT,8,8000,16.777216,0.5406976744,0.5261627907,0.5406976744
1p46G-gemma-commoncrawl-sw-29BT,8,8500,17.825792,0.5523255814,0.5261627907,0.5523255814
1p46G-gemma-commoncrawl-sw-29BT,8,9000,18.874368,0.5377906977,0.523255814,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,8,9500,19.922944,0.5465116279000001,0.5610465116000001,0.5465116279000001
1p46G-gemma-commoncrawl-sw-29BT,7,0,0.0,0.46802325580000004,0.5029069767000001,0.46802325580000004
1p46G-gemma-commoncrawl-sw-29BT,7,1000,2.097152,0.5581395349,0.5406976744,0.5581395349
1p46G-gemma-commoncrawl-sw-29BT,7,10000,20.97152,0.523255814,0.5436046512,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,7,10500,22.020096,0.523255814,0.5087209302,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,7,11000,23.068672,0.5203488372,0.5465116279000001,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,7,11500,24.117248,0.5406976744,0.5261627907,0.5406976744
1p46G-gemma-commoncrawl-sw-29BT,7,12000,25.165824,0.5174418605000001,0.5348837209,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,7,12500,26.2144,0.5348837209,0.523255814,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,7,13000,27.262976,0.5465116279000001,0.5319767442000001,0.5465116279000001
1p46G-gemma-commoncrawl-sw-29BT,7,13500,28.311552,0.5319767442000001,0.5465116279000001,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,7,14000,29.360128,0.5348837209,0.5552325581,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,7,1500,3.145728,0.5203488372,0.5145348837,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,7,2000,4.194304,0.5058139535,0.5087209302,0.5058139535
1p46G-gemma-commoncrawl-sw-29BT,7,2500,5.24288,0.4912790698,0.5029069767000001,0.4912790698
1p46G-gemma-commoncrawl-sw-29BT,7,3000,6.291456,0.5465116279000001,0.5610465116000001,0.5465116279000001
1p46G-gemma-commoncrawl-sw-29BT,7,3500,7.340032,0.5319767442000001,0.5174418605000001,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,7,4000,8.388608,0.5058139535,0.5348837209,0.5058139535
1p46G-gemma-commoncrawl-sw-29BT,7,4500,9.437184,0.4912790698,0.5406976744,0.4912790698
1p46G-gemma-commoncrawl-sw-29BT,7,500,1.048576,0.4970930233,0.5145348837,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,7,5000,10.48576,0.5058139535,0.5203488372,0.5058139535
1p46G-gemma-commoncrawl-sw-29BT,7,5500,11.534336,0.523255814,0.5581395349,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,7,6000,12.582912,0.523255814,0.5203488372,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,7,6500,13.631488,0.5261627907,0.5465116279000001,0.5261627907
1p46G-gemma-commoncrawl-sw-29BT,7,7000,14.680064,0.5174418605000001,0.5494186047,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,7,7500,15.72864,0.4970930233,0.5348837209,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,7,8000,16.777216,0.5290697674,0.5261627907,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,7,8500,17.825792,0.4970930233,0.5348837209,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,7,9000,18.874368,0.5523255814,0.5319767442000001,0.5523255814
1p46G-gemma-commoncrawl-sw-29BT,7,9500,19.922944,0.5494186047,0.5465116279000001,0.5494186047
baseline-sw-,42,0,0.0,0.5,0.5,0.5
