runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.5319767442000001,0.5087209302,0.5319767442000001,0.532,0.527,0.532,0.509
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.5348837209,0.5174418605000001,0.5348837209,0.537,0.538,0.537,0.519
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.5319767442000001,0.5087209302,0.5319767442000001,0.545,0.542,0.545,0.521
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.5523255814,0.5145348837,0.5523255814,0.56,0.547,0.56,0.517
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.5377906977,0.5029069767000001,0.5377906977,0.541,0.541,0.541,0.517
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.5261627907,0.523255814,0.5261627907,0.545,0.553,0.545,0.518
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.5174418605000001,0.5436046512,0.5174418605000001,0.537,0.558,0.537,0.506
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.5087209302,0.5087209302,0.5087209302,0.543,0.536,0.543,0.501
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.5319767442000001,0.5348837209,0.5319767442000001,0.539,0.522,0.539,0.511
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.5174418605000001,0.5465116279000001,0.5174418605000001,0.552,0.553,0.552,0.493
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.5174418605000001,0.4970930233,0.5174418605000001,0.539,0.544,0.539,0.506
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.5436046512,0.5523255814,0.5436046512,0.54,0.541,0.54,0.51
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.5494186047,0.5465116279000001,0.5494186047,0.5700000000000001,0.553,0.5700000000000001,0.537
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.5145348837,0.47965116280000003,0.5145348837,0.47800000000000004,0.506,0.47800000000000004,0.501
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.5668604651,0.5465116279000001,0.5668604651,0.54,0.532,0.54,0.502
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.5377906977,0.5203488372,0.5377906977,0.528,0.532,0.528,0.509
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.5290697674,0.5523255814,0.5290697674,0.559,0.546,0.559,0.52
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.511627907,0.49418604650000003,0.511627907,0.547,0.528,0.547,0.521
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.5203488372,0.5203488372,0.5203488372,0.548,0.539,0.548,0.515
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.5348837209,0.511627907,0.5348837209,0.535,0.539,0.535,0.506
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.5290697674,0.4970930233,0.5290697674,0.559,0.532,0.559,0.515
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.5261627907,0.5087209302,0.5261627907,0.553,0.538,0.553,0.508
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.523255814,0.5319767442000001,0.523255814,0.548,0.531,0.548,0.524
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.5348837209,0.5058139535,0.5348837209,0.543,0.551,0.543,0.522
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.4970930233,0.49418604650000003,0.4970930233,0.499,0.514,0.499,0.511
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.4912790698,0.5203488372,0.4912790698,0.5,0.522,0.5,0.496
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.5755813953000001,0.5377906977,0.5755813953000001,0.546,0.538,0.546,0.519
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.5494186047,0.5087209302,0.5494186047,0.562,0.537,0.562,0.542
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.5319767442000001,0.5058139535,0.5319767442000001,0.552,0.53,0.552,0.532
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.523255814,0.5319767442000001,0.523255814,0.542,0.519,0.542,0.52
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.5436046512,0.5261627907,0.5436046512,0.562,0.528,0.562,0.509
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.5203488372,0.5377906977,0.5203488372,0.554,0.538,0.554,0.527
1p46G-gemma-commoncrawl-sw-29BT,8,13000,27.262976,0.5348837209,0.5261627907,0.5348837209,0.5660000000000001,0.545,0.5660000000000001,0.533
1p46G-gemma-commoncrawl-sw-29BT,8,13500,28.311552,0.5523255814,0.5261627907,0.5523255814,0.54,0.517,0.54,0.535
1p46G-gemma-commoncrawl-sw-29BT,8,14000,29.360128,0.523255814,0.523255814,0.523255814,0.543,0.53,0.543,0.515
1p46G-gemma-commoncrawl-sw-29BT,8,1500,3.145728,0.5029069767000001,0.5174418605000001,0.5029069767000001,0.527,0.521,0.527,0.498
1p46G-gemma-commoncrawl-sw-29BT,8,2000,4.194304,0.5319767442000001,0.5087209302,0.5319767442000001,0.531,0.52,0.531,0.519
1p46G-gemma-commoncrawl-sw-29BT,8,2500,5.24288,0.5552325581,0.5494186047,0.5552325581,0.519,0.542,0.519,0.484
1p46G-gemma-commoncrawl-sw-29BT,8,3000,6.291456,0.5377906977,0.5203488372,0.5377906977,0.535,0.52,0.535,0.47500000000000003
1p46G-gemma-commoncrawl-sw-29BT,8,3500,7.340032,0.5029069767000001,0.5348837209,0.5029069767000001,0.525,0.536,0.525,0.517
1p46G-gemma-commoncrawl-sw-29BT,8,4000,8.388608,0.5406976744,0.5406976744,0.5406976744,0.551,0.552,0.551,0.512
1p46G-gemma-commoncrawl-sw-29BT,8,4500,9.437184,0.523255814,0.5668604651,0.523255814,0.561,0.55,0.561,0.516
1p46G-gemma-commoncrawl-sw-29BT,8,500,1.048576,0.5290697674,0.5174418605000001,0.5290697674,0.507,0.511,0.507,0.488
1p46G-gemma-commoncrawl-sw-29BT,8,5000,10.48576,0.5523255814,0.5639534884,0.5523255814,0.559,0.553,0.559,0.507
1p46G-gemma-commoncrawl-sw-29BT,8,5500,11.534336,0.5494186047,0.5726744186,0.5494186047,0.5630000000000001,0.551,0.5630000000000001,0.494
1p46G-gemma-commoncrawl-sw-29BT,8,6000,12.582912,0.5319767442000001,0.5348837209,0.5319767442000001,0.549,0.535,0.549,0.507
1p46G-gemma-commoncrawl-sw-29BT,8,6500,13.631488,0.5406976744,0.5261627907,0.5406976744,0.55,0.538,0.55,0.495
1p46G-gemma-commoncrawl-sw-29BT,8,7000,14.680064,0.5348837209,0.5145348837,0.5348837209,0.544,0.532,0.544,0.517
1p46G-gemma-commoncrawl-sw-29BT,8,7500,15.72864,0.5930232558,0.5697674419000001,0.5930232558,0.578,0.558,0.578,0.516
1p46G-gemma-commoncrawl-sw-29BT,8,8000,16.777216,0.5406976744,0.5261627907,0.5406976744,0.558,0.529,0.558,0.548
1p46G-gemma-commoncrawl-sw-29BT,8,8500,17.825792,0.5523255814,0.5261627907,0.5523255814,0.5640000000000001,0.551,0.5640000000000001,0.532
1p46G-gemma-commoncrawl-sw-29BT,8,9000,18.874368,0.5377906977,0.523255814,0.5377906977,0.5720000000000001,0.54,0.5720000000000001,0.524
1p46G-gemma-commoncrawl-sw-29BT,8,9500,19.922944,0.5465116279000001,0.5610465116000001,0.5465116279000001,0.5760000000000001,0.543,0.5760000000000001,0.525
1p46G-gemma-commoncrawl-sw-29BT,7,0,0.0,0.46802325580000004,0.5029069767000001,0.46802325580000004,0.52,0.509,0.52,0.489
1p46G-gemma-commoncrawl-sw-29BT,7,1000,2.097152,0.5581395349,0.5406976744,0.5581395349,0.492,0.52,0.492,0.52
1p46G-gemma-commoncrawl-sw-29BT,7,10000,20.97152,0.523255814,0.5436046512,0.523255814,0.561,0.5740000000000001,0.561,0.505
1p46G-gemma-commoncrawl-sw-29BT,7,10500,22.020096,0.523255814,0.5087209302,0.523255814,0.5650000000000001,0.583,0.5650000000000001,0.508
1p46G-gemma-commoncrawl-sw-29BT,7,11000,23.068672,0.5203488372,0.5465116279000001,0.5203488372,0.5630000000000001,0.578,0.5630000000000001,0.519
1p46G-gemma-commoncrawl-sw-29BT,7,11500,24.117248,0.5406976744,0.5261627907,0.5406976744,0.592,0.5660000000000001,0.592,0.52
1p46G-gemma-commoncrawl-sw-29BT,7,12000,25.165824,0.5174418605000001,0.5348837209,0.5174418605000001,0.579,0.578,0.579,0.512
1p46G-gemma-commoncrawl-sw-29BT,7,12500,26.2144,0.5348837209,0.523255814,0.5348837209,0.559,0.588,0.559,0.519
1p46G-gemma-commoncrawl-sw-29BT,7,13000,27.262976,0.5465116279000001,0.5319767442000001,0.5465116279000001,0.559,0.578,0.559,0.531
1p46G-gemma-commoncrawl-sw-29BT,7,13500,28.311552,0.5319767442000001,0.5465116279000001,0.5319767442000001,0.5710000000000001,0.585,0.5710000000000001,0.513
1p46G-gemma-commoncrawl-sw-29BT,7,14000,29.360128,0.5348837209,0.5552325581,0.5348837209,0.5720000000000001,0.585,0.5720000000000001,0.516
1p46G-gemma-commoncrawl-sw-29BT,7,1500,3.145728,0.5203488372,0.5145348837,0.5203488372,0.526,0.528,0.526,0.493
1p46G-gemma-commoncrawl-sw-29BT,7,2000,4.194304,0.5058139535,0.5087209302,0.5058139535,0.537,0.527,0.537,0.487
1p46G-gemma-commoncrawl-sw-29BT,7,2500,5.24288,0.4912790698,0.5029069767000001,0.4912790698,0.53,0.535,0.53,0.504
1p46G-gemma-commoncrawl-sw-29BT,7,3000,6.291456,0.5465116279000001,0.5610465116000001,0.5465116279000001,0.54,0.533,0.54,0.508
1p46G-gemma-commoncrawl-sw-29BT,7,3500,7.340032,0.5319767442000001,0.5174418605000001,0.5319767442000001,0.533,0.558,0.533,0.501
1p46G-gemma-commoncrawl-sw-29BT,7,4000,8.388608,0.5058139535,0.5348837209,0.5058139535,0.558,0.549,0.558,0.525
1p46G-gemma-commoncrawl-sw-29BT,7,4500,9.437184,0.4912790698,0.5406976744,0.4912790698,0.547,0.551,0.547,0.502
1p46G-gemma-commoncrawl-sw-29BT,7,500,1.048576,0.4970930233,0.5145348837,0.4970930233,0.481,0.47200000000000003,0.481,0.513
1p46G-gemma-commoncrawl-sw-29BT,7,5000,10.48576,0.5058139535,0.5203488372,0.5058139535,0.5,0.555,0.5,0.488
1p46G-gemma-commoncrawl-sw-29BT,7,5500,11.534336,0.523255814,0.5581395349,0.523255814,0.539,0.549,0.539,0.498
1p46G-gemma-commoncrawl-sw-29BT,7,6000,12.582912,0.523255814,0.5203488372,0.523255814,0.537,0.553,0.537,0.5
1p46G-gemma-commoncrawl-sw-29BT,7,6500,13.631488,0.5261627907,0.5465116279000001,0.5261627907,0.56,0.551,0.56,0.497
1p46G-gemma-commoncrawl-sw-29BT,7,7000,14.680064,0.5174418605000001,0.5494186047,0.5174418605000001,0.523,0.5640000000000001,0.523,0.503
1p46G-gemma-commoncrawl-sw-29BT,7,7500,15.72864,0.4970930233,0.5348837209,0.4970930233,0.551,0.561,0.551,0.522
1p46G-gemma-commoncrawl-sw-29BT,7,8000,16.777216,0.5290697674,0.5261627907,0.5290697674,0.5710000000000001,0.579,0.5710000000000001,0.511
1p46G-gemma-commoncrawl-sw-29BT,7,8500,17.825792,0.4970930233,0.5348837209,0.4970930233,0.543,0.5630000000000001,0.543,0.51
1p46G-gemma-commoncrawl-sw-29BT,7,9000,18.874368,0.5523255814,0.5319767442000001,0.5523255814,0.56,0.583,0.56,0.53
1p46G-gemma-commoncrawl-sw-29BT,7,9500,19.922944,0.5494186047,0.5465116279000001,0.5494186047,0.5690000000000001,0.559,0.5690000000000001,0.502
baseline-sw-,42,0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
