runname,seed,steps,tokens,prefix_match,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.016,0.59,0.638,0.59,0.64
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.368,0.5670000000000001,0.638,0.5670000000000001,0.629
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.353,0.5680000000000001,0.638,0.5680000000000001,0.622
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.39,0.588,0.636,0.588,0.614
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.376,0.582,0.64,0.582,0.622
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.361,0.56,0.64,0.56,0.631
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.422,0.627,0.636,0.627,0.639
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.321,0.553,0.638,0.553,0.634
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.388,0.618,0.637,0.618,0.638
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.399,0.619,0.638,0.619,0.631
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.369,0.604,0.639,0.604,0.636
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.0,0.459,0.636,0.459,0.513
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.40800000000000003,0.62,0.637,0.62,0.636
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.271,0.503,0.642,0.503,0.63
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.296,0.515,0.633,0.515,0.633
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.28800000000000003,0.497,0.636,0.497,0.623
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.31,0.544,0.637,0.544,0.628
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.275,0.516,0.634,0.516,0.627
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.281,0.509,0.639,0.509,0.616
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.27,0.496,0.63,0.496,0.623
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.274,0.493,0.629,0.493,0.623
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.316,0.525,0.64,0.525,0.637
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.366,0.641,0.638,0.641,0.636
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.376,0.599,0.637,0.599,0.637
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.331,0.51,0.636,0.51,0.635
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.216,0.438,0.623,0.438,0.627
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.271,0.519,0.64,0.519,0.639
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.28800000000000003,0.489,0.633,0.489,0.63
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.276,0.528,0.641,0.528,0.635
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.059000000000000004,0.391,0.602,0.391,0.604
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.194,0.426,0.61,0.426,0.62
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.318,0.522,0.645,0.522,0.637
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.331,0.517,0.635,0.517,0.633
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.249,0.484,0.633,0.484,0.607
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.251,0.462,0.613,0.462,0.618
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.249,0.47800000000000004,0.621,0.47800000000000004,0.624
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.25,0.47200000000000003,0.61,0.47200000000000003,0.6000000000000001
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.272,0.515,0.632,0.515,0.616
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.24,0.466,0.629,0.466,0.553
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.255,0.47300000000000003,0.619,0.47300000000000003,0.58
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.0,0.46,0.636,0.46,0.372
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.13,0.595,0.638,0.595,0.636
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.381,0.532,0.626,0.532,0.5690000000000001
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.377,0.54,0.623,0.54,0.604
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.359,0.522,0.623,0.522,0.562
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.359,0.536,0.625,0.536,0.588
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.363,0.537,0.628,0.537,0.584
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.35100000000000003,0.521,0.625,0.521,0.589
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.354,0.535,0.631,0.535,0.581
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.353,0.527,0.625,0.527,0.589
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.353,0.524,0.623,0.524,0.5760000000000001
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.307,0.594,0.638,0.594,0.636
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.329,0.551,0.64,0.551,0.635
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.306,0.557,0.637,0.557,0.62
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.388,0.548,0.642,0.548,0.639
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.339,0.5750000000000001,0.635,0.5750000000000001,0.633
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.373,0.5660000000000001,0.638,0.5660000000000001,0.636
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.39,0.5700000000000001,0.644,0.5700000000000001,0.628
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.003,0.5740000000000001,0.635,0.5740000000000001,0.636
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.371,0.55,0.639,0.55,0.5730000000000001
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.366,0.537,0.637,0.537,0.589
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.337,0.47900000000000004,0.604,0.47900000000000004,0.623
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.38,0.534,0.633,0.534,0.548
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.377,0.531,0.63,0.531,0.543
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.341,0.516,0.626,0.516,0.544
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.36,0.518,0.623,0.518,0.562
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.34400000000000003,0.505,0.614,0.505,0.593
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.34600000000000003,0.515,0.619,0.515,0.586
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.298,0.454,0.615,0.454,0.529
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.0,0.458,0.636,0.458,0.513
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.394,0.579,0.642,0.579,0.594
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.339,0.526,0.63,0.526,0.636
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.357,0.556,0.64,0.556,0.637
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.327,0.523,0.637,0.523,0.636
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.377,0.586,0.64,0.586,0.636
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.374,0.5640000000000001,0.632,0.5640000000000001,0.639
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.342,0.524,0.625,0.524,0.637
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.397,0.558,0.64,0.558,0.637
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.371,0.557,0.631,0.557,0.636
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.358,0.559,0.642,0.559,0.636
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.34600000000000003,0.531,0.633,0.531,0.47800000000000004
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.35000000000000003,0.523,0.613,0.523,0.543
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.388,0.543,0.639,0.543,0.5730000000000001
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.385,0.537,0.618,0.537,0.588
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.398,0.553,0.633,0.553,0.629
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.429,0.549,0.635,0.549,0.615
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.41600000000000004,0.577,0.635,0.577,0.638
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.03,0.46900000000000003,0.64,0.46900000000000003,0.636
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.461,0.626,0.641,0.626,0.538
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.423,0.594,0.637,0.594,0.642
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.432,0.588,0.641,0.588,0.61
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.40800000000000003,0.589,0.642,0.589,0.639
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.393,0.585,0.641,0.585,0.638
1p46G-gemma-aquila-ar-29BT,6,7500,15.72864,0.376,0.528,0.627,0.528,0.638
1p46G-gemma-aquila-ar-29BT,6,8000,16.777216,0.389,0.562,0.636,0.562,0.639
1p46G-gemma-aquila-ar-29BT,6,8500,17.825792,0.387,0.5670000000000001,0.639,0.5670000000000001,0.638
1p46G-gemma-aquila-ar-29BT,6,9000,18.874368,0.373,0.528,0.627,0.528,0.633
1p46G-gemma-aquila-ar-29BT,6,9500,19.922944,0.40700000000000003,0.588,0.64,0.588,0.636
1p46G-gemma-commoncrawl-ar-29BT,4,0,0.0,0.0,0.516,0.636,0.516,0.442
1p46G-gemma-commoncrawl-ar-29BT,4,1000,2.097152,0.067,0.453,0.637,0.453,0.638
1p46G-gemma-commoncrawl-ar-29BT,4,10000,20.97152,0.196,0.47500000000000003,0.633,0.47500000000000003,0.5750000000000001
1p46G-gemma-commoncrawl-ar-29BT,4,10500,22.020096,0.234,0.541,0.637,0.541,0.618
1p46G-gemma-commoncrawl-ar-29BT,4,11000,23.068672,0.254,0.547,0.641,0.547,0.635
1p46G-gemma-commoncrawl-ar-29BT,4,11500,24.117248,0.23600000000000002,0.516,0.637,0.516,0.524
1p46G-gemma-commoncrawl-ar-29BT,4,12000,25.165824,0.266,0.5660000000000001,0.635,0.5660000000000001,0.624
1p46G-gemma-commoncrawl-ar-29BT,4,12500,26.2144,0.289,0.548,0.631,0.548,0.583
1p46G-gemma-commoncrawl-ar-29BT,4,13000,27.262976,0.304,0.551,0.633,0.551,0.589
1p46G-gemma-commoncrawl-ar-29BT,4,13500,28.311552,0.321,0.56,0.634,0.56,0.616
1p46G-gemma-commoncrawl-ar-29BT,4,14000,29.360128,0.32,0.549,0.632,0.549,0.5680000000000001
1p46G-gemma-commoncrawl-ar-29BT,4,1500,3.145728,0.167,0.582,0.638,0.582,0.637
1p46G-gemma-commoncrawl-ar-29BT,4,2000,4.194304,0.23,0.618,0.637,0.618,0.637
1p46G-gemma-commoncrawl-ar-29BT,4,2500,5.24288,0.254,0.5700000000000001,0.636,0.5700000000000001,0.636
1p46G-gemma-commoncrawl-ar-29BT,4,3000,6.291456,0.335,0.554,0.638,0.554,0.64
1p46G-gemma-commoncrawl-ar-29BT,4,3500,7.340032,0.402,0.607,0.636,0.607,0.637
1p46G-gemma-commoncrawl-ar-29BT,4,4000,8.388608,0.354,0.536,0.636,0.536,0.615
1p46G-gemma-commoncrawl-ar-29BT,4,4500,9.437184,0.329,0.581,0.631,0.581,0.644
1p46G-gemma-commoncrawl-ar-29BT,4,500,1.048576,0.015,0.405,0.627,0.405,0.635
1p46G-gemma-commoncrawl-ar-29BT,4,5000,10.48576,0.248,0.559,0.638,0.559,0.622
1p46G-gemma-commoncrawl-ar-29BT,4,5500,11.534336,0.383,0.577,0.637,0.577,0.616
1p46G-gemma-commoncrawl-ar-29BT,4,6000,12.582912,0.372,0.5710000000000001,0.633,0.5710000000000001,0.625
1p46G-gemma-commoncrawl-ar-29BT,4,6500,13.631488,0.396,0.5740000000000001,0.635,0.5740000000000001,0.617
1p46G-gemma-commoncrawl-ar-29BT,4,7000,14.680064,0.318,0.548,0.64,0.548,0.621
1p46G-gemma-commoncrawl-ar-29BT,4,7500,15.72864,0.363,0.536,0.634,0.536,0.633
1p46G-gemma-commoncrawl-ar-29BT,4,8000,16.777216,0.355,0.559,0.636,0.559,0.588
1p46G-gemma-commoncrawl-ar-29BT,4,8500,17.825792,0.201,0.419,0.602,0.419,0.589
1p46G-gemma-commoncrawl-ar-29BT,4,9000,18.874368,0.353,0.549,0.637,0.549,0.627
1p46G-gemma-commoncrawl-ar-29BT,4,9500,19.922944,0.267,0.499,0.633,0.499,0.612
1p46G-gemma-commoncrawl-ar-29BT,5,0,0.0,0.0,0.526,0.636,0.526,0.522
1p46G-gemma-commoncrawl-ar-29BT,5,1000,2.097152,0.093,0.513,0.64,0.513,0.6000000000000001
1p46G-gemma-commoncrawl-ar-29BT,5,10000,20.97152,0.328,0.557,0.631,0.557,0.627
1p46G-gemma-commoncrawl-ar-29BT,5,10500,22.020096,0.391,0.589,0.635,0.589,0.625
1p46G-gemma-commoncrawl-ar-29BT,5,11000,23.068672,0.391,0.5660000000000001,0.639,0.5660000000000001,0.629
1p46G-gemma-commoncrawl-ar-29BT,5,11500,24.117248,0.379,0.5630000000000001,0.634,0.5630000000000001,0.628
1p46G-gemma-commoncrawl-ar-29BT,5,12000,25.165824,0.41100000000000003,0.619,0.635,0.619,0.628
1p46G-gemma-commoncrawl-ar-29BT,5,12500,26.2144,0.405,0.605,0.638,0.605,0.636
1p46G-gemma-commoncrawl-ar-29BT,5,13000,27.262976,0.403,0.592,0.636,0.592,0.634
1p46G-gemma-commoncrawl-ar-29BT,5,13500,28.311552,0.401,0.592,0.635,0.592,0.634
1p46G-gemma-commoncrawl-ar-29BT,5,14000,29.360128,0.396,0.587,0.635,0.587,0.632
1p46G-gemma-commoncrawl-ar-29BT,5,1500,3.145728,0.145,0.52,0.64,0.52,0.644
1p46G-gemma-commoncrawl-ar-29BT,5,2000,4.194304,0.241,0.5650000000000001,0.638,0.5650000000000001,0.61
1p46G-gemma-commoncrawl-ar-29BT,5,2500,5.24288,0.23800000000000002,0.462,0.624,0.462,0.578
1p46G-gemma-commoncrawl-ar-29BT,5,3000,6.291456,0.263,0.51,0.624,0.51,0.636
1p46G-gemma-commoncrawl-ar-29BT,5,3500,7.340032,0.219,0.402,0.56,0.402,0.637
1p46G-gemma-commoncrawl-ar-29BT,5,4000,8.388608,0.263,0.47300000000000003,0.614,0.47300000000000003,0.582
1p46G-gemma-commoncrawl-ar-29BT,5,4500,9.437184,0.214,0.406,0.542,0.406,0.63
1p46G-gemma-commoncrawl-ar-29BT,5,500,1.048576,0.003,0.483,0.633,0.483,0.637
1p46G-gemma-commoncrawl-ar-29BT,5,5000,10.48576,0.314,0.531,0.633,0.531,0.633
1p46G-gemma-commoncrawl-ar-29BT,5,5500,11.534336,0.311,0.5,0.625,0.5,0.624
1p46G-gemma-commoncrawl-ar-29BT,5,6000,12.582912,0.352,0.5640000000000001,0.633,0.5640000000000001,0.635
1p46G-gemma-commoncrawl-ar-29BT,5,6500,13.631488,0.364,0.56,0.631,0.56,0.632
1p46G-gemma-commoncrawl-ar-29BT,5,7000,14.680064,0.375,0.562,0.634,0.562,0.626
1p46G-gemma-commoncrawl-ar-29BT,5,7500,15.72864,0.357,0.555,0.632,0.555,0.636
1p46G-gemma-commoncrawl-ar-29BT,5,8000,16.777216,0.4,0.578,0.627,0.578,0.635
1p46G-gemma-commoncrawl-ar-29BT,5,8500,17.825792,0.297,0.526,0.635,0.526,0.634
1p46G-gemma-commoncrawl-ar-29BT,5,9000,18.874368,0.326,0.539,0.633,0.539,0.635
1p46G-gemma-commoncrawl-ar-29BT,5,9500,19.922944,0.382,0.5720000000000001,0.634,0.5720000000000001,0.636
1p46G-gemma-lynx-ar-29BT,6,0,0.0,0.0,0.457,0.636,0.457,0.513
1p46G-gemma-lynx-ar-29BT,6,1000,2.097152,0.122,0.601,0.642,0.601,0.636
1p46G-gemma-lynx-ar-29BT,6,10000,20.97152,0.202,0.442,0.614,0.442,0.624
1p46G-gemma-lynx-ar-29BT,6,10500,22.020096,0.252,0.524,0.631,0.524,0.626
1p46G-gemma-lynx-ar-29BT,6,11000,23.068672,0.047,0.455,0.618,0.455,0.626
1p46G-gemma-lynx-ar-29BT,6,11500,24.117248,0.261,0.515,0.625,0.515,0.626
1p46G-gemma-lynx-ar-29BT,6,12000,25.165824,0.161,0.484,0.625,0.484,0.607
1p46G-gemma-lynx-ar-29BT,6,12500,26.2144,0.123,0.463,0.623,0.463,0.61
1p46G-gemma-lynx-ar-29BT,6,13000,27.262976,0.176,0.491,0.627,0.491,0.597
1p46G-gemma-lynx-ar-29BT,6,13500,28.311552,0.134,0.47400000000000003,0.631,0.47400000000000003,0.598
1p46G-gemma-lynx-ar-29BT,6,14000,29.360128,0.139,0.459,0.621,0.459,0.562
1p46G-gemma-lynx-ar-29BT,6,1500,3.145728,0.189,0.501,0.639,0.501,0.636
1p46G-gemma-lynx-ar-29BT,6,2000,4.194304,0.229,0.447,0.625,0.447,0.63
1p46G-gemma-lynx-ar-29BT,6,2500,5.24288,0.095,0.44,0.624,0.44,0.63
1p46G-gemma-lynx-ar-29BT,6,3000,6.291456,0.311,0.545,0.637,0.545,0.636
1p46G-gemma-lynx-ar-29BT,6,3500,7.340032,0.296,0.507,0.623,0.507,0.627
1p46G-gemma-lynx-ar-29BT,6,4000,8.388608,0.2,0.544,0.635,0.544,0.617
1p46G-gemma-lynx-ar-29BT,6,4500,9.437184,0.256,0.47500000000000003,0.605,0.47500000000000003,0.5750000000000001
1p46G-gemma-lynx-ar-29BT,6,500,1.048576,0.002,0.371,0.615,0.371,0.622
1p46G-gemma-lynx-ar-29BT,6,5000,10.48576,0.231,0.503,0.636,0.503,0.543
1p46G-gemma-lynx-ar-29BT,6,5500,11.534336,0.231,0.543,0.634,0.543,0.496
1p46G-gemma-lynx-ar-29BT,6,6000,12.582912,0.303,0.534,0.64,0.534,0.635
1p46G-gemma-lynx-ar-29BT,6,6500,13.631488,0.23900000000000002,0.48,0.624,0.48,0.496
1p46G-gemma-lynx-ar-29BT,6,7000,14.680064,0.28600000000000003,0.508,0.624,0.508,0.612
1p46G-gemma-lynx-ar-29BT,6,7500,15.72864,0.281,0.505,0.635,0.505,0.59
1p46G-gemma-lynx-ar-29BT,6,8000,16.777216,0.227,0.482,0.622,0.482,0.629
1p46G-gemma-lynx-ar-29BT,6,8500,17.825792,0.20700000000000002,0.541,0.632,0.541,0.597
1p46G-gemma-lynx-ar-29BT,6,9000,18.874368,0.327,0.507,0.629,0.507,0.603
1p46G-gemma-lynx-ar-29BT,6,9500,19.922944,0.164,0.497,0.635,0.497,0.622
