runname,seed,steps,tokens,prefix_match,f1,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.053,0.15241049010000002,0.54,0.5466666667,0.5933333333,0.46
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.052000000000000005,0.1321115474,0.5666666667,0.5466666667,0.5933333333,0.4933333333
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.054,0.1534019202,0.5466666667,0.5533333333,0.5933333333,0.4733333333
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.059000000000000004,0.1475226589,0.5666666667,0.5466666667,0.5866666667,0.4333333333
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.063,0.1604876707,0.5533333333,0.56,0.6266666667,0.46
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.059000000000000004,0.1776010761,0.56,0.54,0.58,0.42666666670000003
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.061,0.164293026,0.5466666667,0.5266666667000001,0.6133333333000001,0.46
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.067,0.15955922790000002,0.5733333333,0.5533333333,0.6066666667,0.46
baseline-ar-,42,0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.0,3.5714300000000005e-05,0.1466666667,0.1133333333,0.16,0.14
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.007,0.0369128056,0.4666666667,0.48666666670000003,0.4933333333,0.45333333330000003
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.027,0.1240389159,0.56,0.5133333333,0.5733333333,0.5333333333
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.028,0.10656317200000001,0.5333333333,0.52,0.58,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.039,0.1215065158,0.5666666667,0.5533333333,0.5933333333,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.029,0.1126973466,0.5466666667,0.5133333333,0.56,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.032,0.1196603895,0.5933333333,0.56,0.62,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.033,0.1270477581,0.56,0.54,0.5733333333,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.035,0.1305773197,0.5733333333,0.52,0.58,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.032,0.11736636090000001,0.5533333333,0.5333333333,0.5933333333,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.032,0.1192366019,0.5466666667,0.5333333333,0.5733333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.004,0.053457783200000004,0.48666666670000003,0.48,0.5066666667,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.004,0.038580503700000005,0.5266666667000001,0.52,0.5333333333,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.007,0.0657389352,0.46,0.48,0.5,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.014,0.0817447421,0.5,0.48666666670000003,0.5066666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.011,0.08152855810000001,0.5333333333,0.4933333333,0.54,0.44
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.014,0.0734652305,0.52,0.48,0.5333333333,0.44
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.019,0.09685768980000001,0.5266666667000001,0.5,0.5266666667000001,0.4466666667
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.002,0.0197055028,0.3133333333,0.33333333330000003,0.3866666667,0.4
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.022,0.07747182820000001,0.48666666670000003,0.5,0.5133333333,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.031,0.0914958544,0.5,0.5,0.5466666667,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.018000000000000002,0.09682876630000001,0.52,0.48666666670000003,0.5466666667,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.03,0.1055605345,0.54,0.52,0.5733333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.036000000000000004,0.120766412,0.5333333333,0.4933333333,0.54,0.5133333333
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.031,0.1239986788,0.54,0.4666666667,0.5266666667000001,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.035,0.1162408224,0.5333333333,0.5133333333,0.5733333333,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.032,0.1244238206,0.5266666667000001,0.5266666667000001,0.56,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.029,0.1201817719,0.5266666667000001,0.5066666667,0.5533333333,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.032,0.12145903870000001,0.54,0.5266666667000001,0.58,0.48666666670000003
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.0,3.9215700000000005e-05,0.1466666667,0.1133333333,0.16,0.14
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.002,0.0285038555,0.46,0.46,0.4733333333,0.4666666667
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.051000000000000004,0.1340522252,0.5933333333,0.5933333333,0.6000000000000001,0.5266666667000001
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.05,0.126144705,0.56,0.5733333333,0.5933333333,0.48666666670000003
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.05,0.1421265974,0.5866666667,0.5733333333,0.6066666667,0.52
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.054,0.1396721796,0.5866666667,0.5733333333,0.6000000000000001,0.5
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.056,0.1467382677,0.5733333333,0.5666666667,0.6000000000000001,0.52
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.055,0.1406562791,0.58,0.5866666667,0.6133333333000001,0.52
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.057,0.1422968134,0.58,0.5666666667,0.6066666667,0.52
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.053,0.1370579624,0.5666666667,0.58,0.62,0.4666666667
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.052000000000000005,0.1351112289,0.5866666667,0.5666666667,0.6133333333000001,0.4933333333
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.004,0.0455715016,0.5133333333,0.4933333333,0.5066666667,0.48666666670000003
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.008,0.0659726138,0.4733333333,0.45333333330000003,0.4933333333,0.48
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.024,0.0841956356,0.5333333333,0.5133333333,0.54,0.5
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.028,0.1032740578,0.5533333333,0.52,0.54,0.45333333330000003
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.027,0.09351022760000001,0.5733333333,0.52,0.5333333333,0.5133333333
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.029,0.0988708117,0.5466666667,0.48,0.5333333333,0.48
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.029,0.0954202085,0.54,0.4933333333,0.54,0.46
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.016,0.0133140435,0.3466666667,0.34,0.39333333330000003,0.4066666667
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.042,0.10287459260000001,0.5533333333,0.5333333333,0.5866666667,0.5066666667
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.026000000000000002,0.1139289891,0.5666666667,0.5066666667,0.5733333333,0.5266666667000001
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.039,0.1213040674,0.52,0.5266666667000001,0.5666666667,0.4733333333
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.046,0.1154136087,0.5466666667,0.56,0.6000000000000001,0.4933333333
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.045,0.15172313710000002,0.5533333333,0.5866666667,0.5733333333,0.4666666667
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.047,0.1247703789,0.5933333333,0.58,0.5933333333,0.4933333333
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.047,0.1278655888,0.5666666667,0.58,0.5933333333,0.5133333333
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.054,0.1411565099,0.5933333333,0.6000000000000001,0.62,0.48666666670000003
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.053,0.1271772209,0.58,0.58,0.6066666667,0.52
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.056,0.1427566897,0.5733333333,0.5666666667,0.5866666667,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.0,7.096170000000001e-05,0.1266666667,0.1133333333,0.2,0.2
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.003,0.0076886296,0.4333333333,0.4733333333,0.5133333333,0.39333333330000003
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.027,0.11453361170000001,0.5466666667,0.54,0.5733333333,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.031,0.1149562923,0.5533333333,0.5466666667,0.5666666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.032,0.1129829619,0.5666666667,0.5666666667,0.58,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.03,0.12291939040000001,0.52,0.5533333333,0.5666666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.031,0.1252683793,0.56,0.5466666667,0.6066666667,0.5
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.029,0.1082320538,0.5466666667,0.5733333333,0.5866666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.033,0.1157171136,0.56,0.56,0.5733333333,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.033,0.11279335360000001,0.5666666667,0.5466666667,0.6000000000000001,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.031,0.116553419,0.5466666667,0.56,0.5866666667,0.48
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.003,0.0316456342,0.4933333333,0.48666666670000003,0.5066666667,0.46
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.005,0.0328218539,0.5066666667,0.5266666667000001,0.5266666667000001,0.45333333330000003
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.015,0.064697711,0.5133333333,0.48666666670000003,0.5133333333,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.02,0.0705169957,0.52,0.5,0.58,0.5133333333
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.015,0.07754434560000001,0.5133333333,0.4933333333,0.5333333333,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.025,0.0822182929,0.54,0.5266666667000001,0.5266666667000001,0.5133333333
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.022,0.0907535538,0.5333333333,0.5133333333,0.54,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.004,0.0078282075,0.3266666667,0.39333333330000003,0.46,0.44
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.027,0.09886862090000001,0.5266666667000001,0.5466666667,0.54,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.029,0.1166692675,0.5466666667,0.5333333333,0.5466666667,0.45333333330000003
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.033,0.09098902610000001,0.54,0.5,0.5466666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.025,0.10651576830000001,0.5533333333,0.5,0.5466666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.027,0.1137738929,0.5333333333,0.5266666667000001,0.5466666667,0.5
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.026000000000000002,0.11063276520000001,0.5333333333,0.5333333333,0.6000000000000001,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.027,0.1042427914,0.5333333333,0.5533333333,0.58,0.48
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.03,0.11202296020000001,0.5666666667,0.54,0.56,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.028,0.1083631409,0.5266666667000001,0.52,0.56,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.03,0.12038918200000001,0.5533333333,0.5533333333,0.5733333333,0.46
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.0,3.9215700000000005e-05,0.1466666667,0.1133333333,0.16,0.14
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.004,0.0585819798,0.52,0.4666666667,0.5133333333,0.48
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.035,0.0950149102,0.5533333333,0.5466666667,0.5866666667,0.5133333333
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.042,0.0920536904,0.5533333333,0.5466666667,0.5666666667,0.45333333330000003
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.04,0.0948736959,0.5333333333,0.5266666667000001,0.5733333333,0.4466666667
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.041,0.0967156245,0.56,0.5466666667,0.5933333333,0.45333333330000003
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.045,0.0921858687,0.5533333333,0.54,0.5933333333,0.46
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.041,0.0961706752,0.54,0.5266666667000001,0.6000000000000001,0.44
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.041,0.09332489470000001,0.5666666667,0.54,0.5933333333,0.42666666670000003
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.039,0.0904140054,0.54,0.5066666667,0.58,0.44
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.043000000000000003,0.09481569100000001,0.5466666667,0.52,0.58,0.44
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.009000000000000001,0.0745117504,0.5066666667,0.5066666667,0.5066666667,0.48
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.023,0.0777852914,0.4933333333,0.48666666670000003,0.4933333333,0.4933333333
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.023,0.0805909773,0.4733333333,0.4933333333,0.5133333333,0.5
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.03,0.089086568,0.48666666670000003,0.5266666667000001,0.56,0.46
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.032,0.0909065973,0.5266666667000001,0.5066666667,0.58,0.4666666667
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.033,0.0872760722,0.54,0.5066666667,0.5666666667,0.48666666670000003
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.038,0.0918142218,0.5466666667,0.5533333333,0.62,0.4933333333
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.011,0.0321063396,0.4,0.34,0.42666666670000003,0.46
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.04,0.0945588024,0.5333333333,0.5533333333,0.6066666667,0.4933333333
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.041,0.09754225500000001,0.5,0.5533333333,0.5466666667,0.48
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.034,0.0889313464,0.56,0.5666666667,0.5933333333,0.5
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.036000000000000004,0.1026417661,0.5533333333,0.5666666667,0.5933333333,0.48666666670000003
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.035,0.09069870740000001,0.58,0.5533333333,0.5666666667,0.48
1p46G-gemma-aquila-ar-29BT,6,7500,15.72864,0.039,0.0916098322,0.5266666667000001,0.5333333333,0.5733333333,0.4733333333
1p46G-gemma-aquila-ar-29BT,6,8000,16.777216,0.036000000000000004,0.09528373250000001,0.54,0.56,0.5733333333,0.4666666667
1p46G-gemma-aquila-ar-29BT,6,8500,17.825792,0.042,0.0961198647,0.5333333333,0.56,0.6000000000000001,0.48666666670000003
1p46G-gemma-aquila-ar-29BT,6,9000,18.874368,0.038,0.0944411446,0.52,0.5666666667,0.5733333333,0.48
1p46G-gemma-aquila-ar-29BT,6,9500,19.922944,0.04,0.0960877577,0.56,0.5466666667,0.6000000000000001,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,4,0,0.0,0.0,5.94828e-05,0.10666666670000001,0.10666666670000001,0.16,0.1733333333
1p46G-gemma-commoncrawl-ar-29BT,4,1000,2.097152,0.002,0.0372591291,0.4333333333,0.4666666667,0.48,0.4466666667
1p46G-gemma-commoncrawl-ar-29BT,4,10000,20.97152,0.041,0.1032969554,0.5733333333,0.5133333333,0.5666666667,0.46
1p46G-gemma-commoncrawl-ar-29BT,4,10500,22.020096,0.041,0.111736309,0.5666666667,0.54,0.5666666667,0.46
1p46G-gemma-commoncrawl-ar-29BT,4,11000,23.068672,0.046,0.1194482741,0.5933333333,0.5466666667,0.5666666667,0.5
1p46G-gemma-commoncrawl-ar-29BT,4,11500,24.117248,0.041,0.11204147310000001,0.5866666667,0.5466666667,0.5733333333,0.48
1p46G-gemma-commoncrawl-ar-29BT,4,12000,25.165824,0.046,0.11280544270000001,0.5733333333,0.54,0.5666666667,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,4,12500,26.2144,0.04,0.11076988980000001,0.5533333333,0.56,0.5666666667,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,4,13000,27.262976,0.046,0.11672534570000001,0.5666666667,0.5733333333,0.5866666667,0.48
1p46G-gemma-commoncrawl-ar-29BT,4,13500,28.311552,0.046,0.1184121052,0.5933333333,0.56,0.5866666667,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,4,14000,29.360128,0.044,0.1055397973,0.6000000000000001,0.5466666667,0.5733333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,4,1500,3.145728,0.005,0.0380262435,0.5333333333,0.5066666667,0.5266666667000001,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,4,2000,4.194304,0.013000000000000001,0.0515292911,0.5266666667000001,0.4666666667,0.5133333333,0.44
1p46G-gemma-commoncrawl-ar-29BT,4,2500,5.24288,0.009000000000000001,0.0740101045,0.52,0.5,0.5133333333,0.4333333333
1p46G-gemma-commoncrawl-ar-29BT,4,3000,6.291456,0.023,0.0656434433,0.5666666667,0.48,0.54,0.44
1p46G-gemma-commoncrawl-ar-29BT,4,3500,7.340032,0.033,0.0915464883,0.5066666667,0.52,0.54,0.46
1p46G-gemma-commoncrawl-ar-29BT,4,4000,8.388608,0.042,0.0883162786,0.5266666667000001,0.4666666667,0.5266666667000001,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,4,4500,9.437184,0.037,0.0934496764,0.5666666667,0.5066666667,0.54,0.46
1p46G-gemma-commoncrawl-ar-29BT,4,500,1.048576,0.002,0.0057947644,0.2933333333,0.3533333333,0.36666666670000003,0.4066666667
1p46G-gemma-commoncrawl-ar-29BT,4,5000,10.48576,0.039,0.10934163320000001,0.5466666667,0.45333333330000003,0.54,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,4,5500,11.534336,0.04,0.1095178356,0.5466666667,0.54,0.58,0.52
1p46G-gemma-commoncrawl-ar-29BT,4,6000,12.582912,0.042,0.1069417876,0.5733333333,0.5266666667000001,0.5666666667,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,4,6500,13.631488,0.039,0.09938481910000001,0.5533333333,0.5333333333,0.56,0.45333333330000003
1p46G-gemma-commoncrawl-ar-29BT,4,7000,14.680064,0.038,0.1122283793,0.5666666667,0.5333333333,0.58,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,4,7500,15.72864,0.05,0.1136868184,0.58,0.56,0.5733333333,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,4,8000,16.777216,0.042,0.12404401770000001,0.56,0.56,0.5933333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,4,8500,17.825792,0.046,0.10842562580000001,0.5933333333,0.5533333333,0.5933333333,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,4,9000,18.874368,0.048,0.10249021870000001,0.5733333333,0.5533333333,0.5933333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,4,9500,19.922944,0.042,0.12136194980000001,0.6066666667,0.5466666667,0.5866666667,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,5,0,0.0,0.0,3.125e-05,0.1333333333,0.0933333333,0.16,0.1733333333
1p46G-gemma-commoncrawl-ar-29BT,5,1000,2.097152,0.002,0.0145163023,0.44,0.45333333330000003,0.4666666667,0.45333333330000003
1p46G-gemma-commoncrawl-ar-29BT,5,10000,20.97152,0.039,0.1302260926,0.5466666667,0.5466666667,0.5666666667,0.4733333333
1p46G-gemma-commoncrawl-ar-29BT,5,10500,22.020096,0.047,0.13341303540000002,0.5733333333,0.5733333333,0.6000000000000001,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,11000,23.068672,0.048,0.1396264669,0.5733333333,0.5533333333,0.5533333333,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,5,11500,24.117248,0.048,0.1345042388,0.58,0.5666666667,0.58,0.5133333333
1p46G-gemma-commoncrawl-ar-29BT,5,12000,25.165824,0.046,0.1269670141,0.54,0.54,0.5666666667,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,5,12500,26.2144,0.048,0.1397093718,0.5733333333,0.56,0.58,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,5,13000,27.262976,0.049,0.1319109216,0.5666666667,0.56,0.5933333333,0.48
1p46G-gemma-commoncrawl-ar-29BT,5,13500,28.311552,0.048,0.1362282118,0.5733333333,0.5666666667,0.5866666667,0.5
1p46G-gemma-commoncrawl-ar-29BT,5,14000,29.360128,0.045,0.1230663659,0.56,0.56,0.5666666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,1500,3.145728,0.002,0.0166767781,0.48666666670000003,0.48,0.4933333333,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,5,2000,4.194304,0.01,0.0573523718,0.52,0.5133333333,0.5333333333,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,2500,5.24288,0.007,0.0602363302,0.5266666667000001,0.5133333333,0.54,0.52
1p46G-gemma-commoncrawl-ar-29BT,5,3000,6.291456,0.01,0.07388286940000001,0.5266666667000001,0.5,0.5466666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,3500,7.340032,0.021,0.0900212368,0.54,0.5466666667,0.56,0.5133333333
1p46G-gemma-commoncrawl-ar-29BT,5,4000,8.388608,0.025,0.09955116600000001,0.56,0.5333333333,0.54,0.5
1p46G-gemma-commoncrawl-ar-29BT,5,4500,9.437184,0.034,0.0954565727,0.5866666667,0.5266666667000001,0.5466666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,500,1.048576,0.005,0.0079399781,0.3133333333,0.3866666667,0.44,0.3733333333
1p46G-gemma-commoncrawl-ar-29BT,5,5000,10.48576,0.034,0.0994905476,0.5733333333,0.5266666667000001,0.56,0.48666666670000003
1p46G-gemma-commoncrawl-ar-29BT,5,5500,11.534336,0.035,0.09942300080000001,0.5466666667,0.5266666667000001,0.56,0.46
1p46G-gemma-commoncrawl-ar-29BT,5,6000,12.582912,0.035,0.1180330995,0.56,0.5533333333,0.5466666667,0.4933333333
1p46G-gemma-commoncrawl-ar-29BT,5,6500,13.631488,0.039,0.1192309044,0.56,0.5133333333,0.56,0.5266666667000001
1p46G-gemma-commoncrawl-ar-29BT,5,7000,14.680064,0.044,0.1240185709,0.5866666667,0.54,0.5866666667,0.5266666667000001
1p46G-gemma-commoncrawl-ar-29BT,5,7500,15.72864,0.037,0.1144466381,0.5266666667000001,0.5133333333,0.56,0.5
1p46G-gemma-commoncrawl-ar-29BT,5,8000,16.777216,0.041,0.1311498033,0.5533333333,0.5466666667,0.5933333333,0.5
1p46G-gemma-commoncrawl-ar-29BT,5,8500,17.825792,0.041,0.1214959409,0.5533333333,0.5466666667,0.6066666667,0.48666666670000003
