runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.616,0.653,0.527,0.5760000000000001,0.631,0.63,0.534,0.554
1p46G-gemma-commoncrawl-hi-29BT,5,1500,3.145728,0.545,0.52,0.514,0.523,0.58,0.55,0.512,0.525
1p46G-gemma-commoncrawl-hi-29BT,5,2000,4.194304,0.593,0.598,0.515,0.517,0.598,0.603,0.519,0.529
1p46G-gemma-commoncrawl-hi-29BT,5,2500,5.24288,0.605,0.577,0.533,0.515,0.587,0.58,0.527,0.509
1p46G-gemma-commoncrawl-hi-29BT,5,3000,6.291456,0.591,0.558,0.536,0.527,0.581,0.549,0.528,0.521
1p46G-gemma-commoncrawl-hi-29BT,5,3500,7.340032,0.62,0.58,0.54,0.535,0.605,0.5730000000000001,0.531,0.529
1p46G-gemma-commoncrawl-hi-29BT,5,4000,8.388608,0.603,0.556,0.544,0.52,0.597,0.554,0.539,0.544
1p46G-gemma-commoncrawl-hi-29BT,5,4500,9.437184,0.618,0.622,0.532,0.556,0.609,0.604,0.522,0.544
1p46G-gemma-commoncrawl-hi-29BT,5,500,1.048576,0.53,0.523,0.505,0.501,0.537,0.52,0.511,0.498
1p46G-gemma-commoncrawl-hi-29BT,5,5000,10.48576,0.611,0.613,0.518,0.546,0.596,0.606,0.509,0.531
1p46G-gemma-commoncrawl-hi-29BT,5,5500,11.534336,0.634,0.624,0.535,0.546,0.624,0.624,0.531,0.537
1p46G-gemma-commoncrawl-hi-29BT,5,6000,12.582912,0.63,0.622,0.533,0.544,0.607,0.609,0.522,0.535
1p46G-gemma-commoncrawl-hi-29BT,5,6500,13.631488,0.614,0.626,0.519,0.542,0.612,0.607,0.527,0.523
1p46G-gemma-commoncrawl-hi-29BT,5,7000,14.680064,0.627,0.635,0.534,0.541,0.625,0.638,0.523,0.519
1p46G-gemma-commoncrawl-hi-29BT,5,7500,15.72864,0.615,0.627,0.536,0.548,0.629,0.627,0.528,0.541
1p46G-gemma-commoncrawl-hi-29BT,5,8000,16.777216,0.617,0.627,0.536,0.5660000000000001,0.615,0.628,0.52,0.532
1p46G-gemma-commoncrawl-hi-29BT,5,8500,17.825792,0.577,0.621,0.513,0.551,0.581,0.621,0.51,0.537
1p46G-gemma-commoncrawl-hi-29BT,5,9000,18.874368,0.614,0.622,0.537,0.544,0.608,0.624,0.53,0.516
1p46G-gemma-commoncrawl-hi-29BT,5,9500,19.922944,0.63,0.617,0.53,0.557,0.619,0.637,0.531,0.533
1p46G-gemma-helios-hi-29BT,6,0,0.0,0.496,0.496,0.497,0.498,0.492,0.492,0.483,0.47800000000000004
1p46G-gemma-helios-hi-29BT,6,1000,2.097152,0.594,0.582,0.52,0.519,0.578,0.5710000000000001,0.526,0.511
1p46G-gemma-helios-hi-29BT,6,10000,20.97152,0.646,0.653,0.585,0.58,0.663,0.653,0.5630000000000001,0.555
1p46G-gemma-helios-hi-29BT,6,10500,22.020096,0.657,0.673,0.5680000000000001,0.621,0.667,0.66,0.553,0.599
1p46G-gemma-helios-hi-29BT,6,11000,23.068672,0.643,0.652,0.5680000000000001,0.59,0.661,0.642,0.557,0.586
1p46G-gemma-helios-hi-29BT,6,11500,24.117248,0.66,0.67,0.584,0.598,0.677,0.661,0.5640000000000001,0.604
1p46G-gemma-helios-hi-29BT,6,12000,25.165824,0.659,0.657,0.583,0.596,0.667,0.658,0.5710000000000001,0.601
1p46G-gemma-helios-hi-29BT,6,12500,26.2144,0.643,0.658,0.579,0.585,0.665,0.667,0.5710000000000001,0.599
1p46G-gemma-helios-hi-29BT,6,13000,27.262976,0.651,0.662,0.585,0.58,0.663,0.641,0.5710000000000001,0.592
1p46G-gemma-helios-hi-29BT,6,13500,28.311552,0.647,0.654,0.585,0.613,0.663,0.656,0.5750000000000001,0.586
1p46G-gemma-helios-hi-29BT,6,14000,29.360128,0.644,0.657,0.5690000000000001,0.588,0.657,0.652,0.554,0.599
1p46G-gemma-helios-hi-29BT,6,1500,3.145728,0.5720000000000001,0.5720000000000001,0.535,0.52,0.5660000000000001,0.556,0.528,0.517
1p46G-gemma-helios-hi-29BT,6,2000,4.194304,0.613,0.588,0.531,0.531,0.597,0.5730000000000001,0.522,0.52
1p46G-gemma-helios-hi-29BT,6,2500,5.24288,0.618,0.605,0.519,0.529,0.601,0.629,0.525,0.5
1p46G-gemma-helios-hi-29BT,6,3000,6.291456,0.631,0.628,0.552,0.542,0.645,0.612,0.542,0.557
1p46G-gemma-helios-hi-29BT,6,3500,7.340032,0.642,0.611,0.54,0.538,0.611,0.61,0.535,0.516
1p46G-gemma-helios-hi-29BT,6,4000,8.388608,0.61,0.595,0.535,0.559,0.602,0.603,0.536,0.532
1p46G-gemma-helios-hi-29BT,6,4500,9.437184,0.633,0.585,0.581,0.56,0.631,0.6000000000000001,0.5640000000000001,0.547
1p46G-gemma-helios-hi-29BT,6,500,1.048576,0.515,0.511,0.517,0.505,0.522,0.502,0.517,0.494
1p46G-gemma-helios-hi-29BT,6,5000,10.48576,0.645,0.635,0.552,0.555,0.649,0.638,0.526,0.5660000000000001
1p46G-gemma-helios-hi-29BT,6,5500,11.534336,0.65,0.653,0.538,0.559,0.619,0.646,0.538,0.551
1p46G-gemma-helios-hi-29BT,6,6000,12.582912,0.642,0.633,0.5630000000000001,0.5740000000000001,0.637,0.647,0.558,0.5680000000000001
1p46G-gemma-helios-hi-29BT,6,6500,13.631488,0.647,0.652,0.584,0.596,0.66,0.629,0.5670000000000001,0.582
1p46G-gemma-helios-hi-29BT,6,7000,14.680064,0.648,0.652,0.56,0.577,0.664,0.661,0.547,0.582
1p46G-gemma-helios-hi-29BT,6,7500,15.72864,0.64,0.638,0.559,0.588,0.65,0.637,0.55,0.56
1p46G-gemma-helios-hi-29BT,6,8000,16.777216,0.653,0.639,0.613,0.561,0.655,0.625,0.587,0.552
1p46G-gemma-helios-hi-29BT,6,8500,17.825792,0.622,0.638,0.538,0.5720000000000001,0.644,0.665,0.533,0.561
1p46G-gemma-helios-hi-29BT,6,9000,18.874368,0.656,0.674,0.578,0.627,0.674,0.647,0.5630000000000001,0.593
1p46G-gemma-helios-hi-29BT,6,9500,19.922944,0.638,0.653,0.552,0.58,0.656,0.658,0.55,0.59
1p46G-gemma-commoncrawl-hi-29BT,4,0,0.0,0.496,0.496,0.518,0.492,0.492,0.492,0.502,0.494
1p46G-gemma-commoncrawl-hi-29BT,4,1000,2.097152,0.531,0.552,0.511,0.504,0.558,0.552,0.51,0.506
1p46G-gemma-commoncrawl-hi-29BT,4,10000,20.97152,0.651,0.625,0.561,0.536,0.621,0.601,0.55,0.517
1p46G-gemma-commoncrawl-hi-29BT,4,10500,22.020096,0.657,0.623,0.548,0.529,0.609,0.596,0.542,0.51
1p46G-gemma-commoncrawl-hi-29BT,4,11000,23.068672,0.633,0.632,0.545,0.54,0.621,0.615,0.542,0.51
1p46G-gemma-commoncrawl-hi-29BT,4,11500,24.117248,0.639,0.629,0.546,0.535,0.607,0.608,0.544,0.538
1p46G-gemma-commoncrawl-hi-29BT,4,12000,25.165824,0.634,0.642,0.547,0.528,0.625,0.613,0.539,0.536
1p46G-gemma-commoncrawl-hi-29BT,4,12500,26.2144,0.642,0.617,0.542,0.527,0.611,0.597,0.543,0.517
1p46G-gemma-commoncrawl-hi-29BT,4,13000,27.262976,0.635,0.644,0.537,0.535,0.613,0.628,0.531,0.544
1p46G-gemma-commoncrawl-hi-29BT,4,13500,28.311552,0.626,0.647,0.532,0.516,0.61,0.617,0.53,0.523
1p46G-gemma-commoncrawl-hi-29BT,4,14000,29.360128,0.641,0.631,0.557,0.525,0.618,0.606,0.545,0.541
1p46G-gemma-commoncrawl-hi-29BT,4,1500,3.145728,0.543,0.532,0.534,0.505,0.537,0.514,0.531,0.515
1p46G-gemma-commoncrawl-hi-29BT,4,2000,4.194304,0.617,0.597,0.516,0.517,0.58,0.589,0.517,0.504
1p46G-gemma-commoncrawl-hi-29BT,4,2500,5.24288,0.591,0.588,0.52,0.521,0.613,0.585,0.534,0.538
1p46G-gemma-commoncrawl-hi-29BT,4,3000,6.291456,0.605,0.596,0.527,0.549,0.597,0.578,0.535,0.539
1p46G-gemma-commoncrawl-hi-29BT,4,3500,7.340032,0.616,0.608,0.537,0.559,0.616,0.589,0.537,0.55
1p46G-gemma-commoncrawl-hi-29BT,4,4000,8.388608,0.617,0.646,0.518,0.541,0.605,0.628,0.516,0.528
1p46G-gemma-commoncrawl-hi-29BT,4,4500,9.437184,0.604,0.582,0.557,0.514,0.605,0.578,0.53,0.513
1p46G-gemma-commoncrawl-hi-29BT,4,500,1.048576,0.511,0.521,0.502,0.516,0.51,0.543,0.51,0.503
1p46G-gemma-commoncrawl-hi-29BT,4,5000,10.48576,0.609,0.619,0.513,0.538,0.585,0.606,0.517,0.509
1p46G-gemma-commoncrawl-hi-29BT,4,5500,11.534336,0.609,0.627,0.526,0.52,0.602,0.618,0.525,0.499
1p46G-gemma-commoncrawl-hi-29BT,4,6000,12.582912,0.624,0.614,0.561,0.527,0.623,0.6000000000000001,0.542,0.53
1p46G-gemma-commoncrawl-hi-29BT,4,6500,13.631488,0.598,0.649,0.527,0.514,0.615,0.611,0.522,0.507
1p46G-gemma-commoncrawl-hi-29BT,4,7000,14.680064,0.628,0.636,0.541,0.538,0.608,0.61,0.532,0.495
1p46G-gemma-commoncrawl-hi-29BT,4,7500,15.72864,0.642,0.627,0.54,0.522,0.612,0.609,0.538,0.507
1p46G-gemma-commoncrawl-hi-29BT,4,8000,16.777216,0.641,0.641,0.546,0.539,0.615,0.626,0.543,0.519
1p46G-gemma-commoncrawl-hi-29BT,4,8500,17.825792,0.637,0.638,0.548,0.554,0.612,0.621,0.54,0.546
1p46G-gemma-commoncrawl-hi-29BT,4,9000,18.874368,0.624,0.641,0.542,0.53,0.616,0.616,0.542,0.516
1p46G-gemma-commoncrawl-hi-29BT,4,9500,19.922944,0.635,0.633,0.544,0.548,0.617,0.603,0.543,0.516
baseline-hi-,42,0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1p46G-gemma-lynx-hi-29BT,6,0,0.0,0.496,0.496,0.498,0.498,0.492,0.492,0.483,0.47800000000000004
1p46G-gemma-lynx-hi-29BT,6,1000,2.097152,0.498,0.501,0.495,0.5,0.521,0.509,0.518,0.504
1p46G-gemma-lynx-hi-29BT,6,10000,20.97152,0.592,0.5730000000000001,0.557,0.553,0.6000000000000001,0.5730000000000001,0.53,0.539
1p46G-gemma-lynx-hi-29BT,6,10500,22.020096,0.609,0.609,0.545,0.549,0.633,0.603,0.532,0.516
1p46G-gemma-lynx-hi-29BT,6,11000,23.068672,0.61,0.587,0.534,0.522,0.605,0.617,0.525,0.525
1p46G-gemma-lynx-hi-29BT,6,11500,24.117248,0.609,0.591,0.539,0.53,0.595,0.604,0.523,0.514
1p46G-gemma-lynx-hi-29BT,6,12000,25.165824,0.61,0.5710000000000001,0.561,0.522,0.604,0.589,0.533,0.525
1p46G-gemma-lynx-hi-29BT,6,12500,26.2144,0.609,0.583,0.549,0.534,0.622,0.607,0.532,0.531
1p46G-gemma-lynx-hi-29BT,6,13000,27.262976,0.61,0.59,0.536,0.546,0.598,0.608,0.527,0.525
1p46G-gemma-lynx-hi-29BT,6,13500,28.311552,0.602,0.5750000000000001,0.553,0.548,0.6000000000000001,0.599,0.539,0.527
1p46G-gemma-lynx-hi-29BT,6,14000,29.360128,0.593,0.5660000000000001,0.5670000000000001,0.523,0.605,0.5760000000000001,0.541,0.525
1p46G-gemma-lynx-hi-29BT,6,1500,3.145728,0.512,0.499,0.52,0.513,0.517,0.494,0.525,0.521
1p46G-gemma-lynx-hi-29BT,6,2000,4.194304,0.534,0.53,0.504,0.511,0.542,0.52,0.511,0.508
1p46G-gemma-lynx-hi-29BT,6,2500,5.24288,0.5660000000000001,0.5630000000000001,0.506,0.526,0.5750000000000001,0.562,0.509,0.529
1p46G-gemma-lynx-hi-29BT,6,3000,6.291456,0.547,0.546,0.508,0.522,0.559,0.561,0.515,0.525
1p46G-gemma-lynx-hi-29BT,6,3500,7.340032,0.577,0.56,0.539,0.556,0.581,0.534,0.515,0.552
1p46G-gemma-lynx-hi-29BT,6,4000,8.388608,0.589,0.584,0.516,0.539,0.579,0.586,0.512,0.531
1p46G-gemma-lynx-hi-29BT,6,4500,9.437184,0.583,0.56,0.539,0.544,0.587,0.558,0.52,0.545
1p46G-gemma-lynx-hi-29BT,6,500,1.048576,0.524,0.508,0.507,0.497,0.487,0.496,0.511,0.486
1p46G-gemma-lynx-hi-29BT,6,5000,10.48576,0.594,0.5750000000000001,0.532,0.55,0.603,0.589,0.515,0.553
1p46G-gemma-lynx-hi-29BT,6,5500,11.534336,0.5740000000000001,0.552,0.5750000000000001,0.523,0.587,0.552,0.539,0.514
1p46G-gemma-lynx-hi-29BT,6,6000,12.582912,0.61,0.586,0.538,0.52,0.604,0.583,0.522,0.521
1p46G-gemma-lynx-hi-29BT,6,6500,13.631488,0.593,0.605,0.527,0.557,0.6000000000000001,0.589,0.512,0.535
1p46G-gemma-lynx-hi-29BT,6,7000,14.680064,0.615,0.595,0.542,0.545,0.606,0.606,0.53,0.541
1p46G-gemma-lynx-hi-29BT,6,7500,15.72864,0.616,0.588,0.53,0.555,0.612,0.5700000000000001,0.523,0.552
1p46G-gemma-lynx-hi-29BT,6,8000,16.777216,0.599,0.5630000000000001,0.534,0.516,0.589,0.577,0.523,0.511
1p46G-gemma-lynx-hi-29BT,6,8500,17.825792,0.591,0.592,0.534,0.533,0.592,0.578,0.522,0.531
1p46G-gemma-lynx-hi-29BT,6,9000,18.874368,0.619,0.605,0.548,0.532,0.598,0.595,0.529,0.528
1p46G-gemma-lynx-hi-29BT,6,9500,19.922944,0.604,0.581,0.535,0.511,0.613,0.579,0.534,0.514
